Counter,Date/time,Latitude,Longitude
1,2022-01-20 18:48:20.975877,46.44511160130019,0.1396061031383003
2,2022-01-20 18:48:24.531475,46.546195089971484,0.42477358800796483
3,2022-01-20 18:48:27.940531,46.64220364360601,0.6987520533591571
4,2022-01-20 18:48:31.343834,46.73722749443421,0.9730045846780198
5,2022-01-20 18:48:34.765330,46.83227153251505,1.2504696969105424
6,2022-01-20 18:48:38.176168,46.92613865890987,1.5276821512643575
7,2022-01-20 18:48:41.582596,47.019199261133465,1.8057240161524621
8,2022-01-20 18:48:44.987256,47.11138234409712,2.0843866552749613
9,2022-01-20 18:48:48.426872,47.203836007479744,2.367202817219898
10,2022-01-20 18:48:51.818600,47.2941490454633,2.6467907011613123
11,2022-01-20 18:48:55.280124,47.38554608430605,2.933174338341531
12,2022-01-20 18:48:58.702167,47.47519304462897,3.2175372202291985
13,2022-01-20 18:49:02.157693,47.564874255829764,3.5055454097040957
14,2022-01-20 18:49:05.574469,47.65275574911986,3.791311466925286
15,2022-01-20 18:49:08.957341,47.73909486794769,4.075578498123077
16,2022-01-20 18:49:12.416855,47.826430720148274,4.366784868913941
17,2022-01-20 18:49:15.830113,47.91187679717281,4.655363872788301
18,2022-01-20 18:49:19.296670,47.99789362536496,4.949660176724622
19,2022-01-20 18:49:22.689204,48.08119732584061,5.238417007242154
20,2022-01-20 18:49:26.155483,48.16542279766659,5.534238545472406
21,2022-01-20 18:49:29.637595,48.24926934759215,5.832724728846955
22,2022-01-20 18:49:33.083907,48.331404438376204,6.129116901167999
23,2022-01-20 18:49:36.488328,48.41169026669175,6.42279352728735
24,2022-01-20 18:49:40.050350,48.49482864689956,6.7311745227483595
25,2022-01-20 18:49:43.482928,48.5740782403499,7.0293209528436025
26,2022-01-20 18:49:46.908899,48.65234467956401,7.327929072423298
27,2022-01-20 18:49:50.323492,48.72947876867105,7.626409855583136
28,2022-01-20 18:49:53.747826,48.8059838659976,7.926720391082935
29,2022-01-20 18:49:57.169810,48.88166302947467,8.228123402330478
30,2022-01-20 18:50:00.508618,48.95454178711952,8.52260208351227
31,2022-01-20 18:50:03.942096,49.028643040007594,8.82643765262447
32,2022-01-20 18:50:07.368975,49.101750990778285,9.130735203019306
33,2022-01-20 18:50:10.794523,49.173953082990096,9.435859476542799
34,2022-01-20 18:50:14.229333,49.24545849953666,9.742724671197225
35,2022-01-20 18:50:17.604606,49.31485573723886,10.045183329495257
